카테고리,diet,name,weight,Kcal,Protein,Fat,Carbohydrate,Sugar,P,K,Na,ingredient,category,main_ingred,sauce
주반찬,R109_418000000-0001,동태포전+간장양념장,150,222.585,16.3005,9.6945,15.11925,1.68825,204.558,297.1425,780.075,"'동태포': 50,'달걀': 10,'후추': 0.5,'진간장': 5,'혼합식물성유': 5,'양파': 10,'초록 고추': 5,'빨간 고추': 5,'밀가루': 10",전·적및부침류,동태포|달걀|양파,간장
주반찬,R110_464320000-0001,돼지고기숙주볶음,230,277.7112,35.74453,11.13522,7.74387,3.09419,374.8885,827.977,990.426,"'돼지고기': 60,'후추': 0.3,'간장': 5,'혼합식물성유': 2,'대파': 5,'양파': 10,'숙주나물': 50,'마늘': 1,'당근': 10",볶음류,돼지고기|숙주나물,간장
주반찬,R108_404130000-0001,미니함박스테이크+데미 소스,200,386.63,19.1245,22.3505,25.57,7.7815,176.2715,314.805,559.4,"'데미그라스소스': 20,'소고기': 20,'돼지고기': 20,'후추': 0.5,'식용유': 5,'양파': 2.5,'당근': 2.5,'빵가루': 10,'우스타소스': 2.5",구이류,소고기|돼지고기,데미그라스소스
주반찬,R111_525000000-0001,삼치엿장조림,100,129.98,8.1175,6.2086,8.8807,1.1053,86.96,160.66,16.18,"'삼치류': 40,'식용유': 5,'마늘': 1,'전분': 5,'물엿': 5",조림류,삼치,물엿
주반찬,R112_568000000-0001,삼치튀김+레몬슬라이스,200,537.74,34.1006,33.892,17.499,0.374,358.6,678.15,739.22,"'소금': 1,'삼치류': 80,'혼합식물성유': 14.5,'레몬': 10,'밀가루': 10",튀김류,삼치,레몬
주반찬,R108_407000000-0001,소고기로스구이,200,396.92,20.7366,32.2274,4.5914,0,202.69,402.5,771.58,"'소금': 1,'소고기': 60,'후추': 2.5,'참기름': 3",구이류,소고기,
주반찬,R112_550130000-0001,수제돈까스+데미소스,200,664.954,36.621,33.613,49.911,7.683,355.402,558.762,623.028,"'데미그라스소스': 20,'맛술': 2.7,'달걀': 10,'돼지고기': 60,'후추': 0.5,'식용유': 12,'밀가루': 10,'빵가루': 15,'우스타소스': 2.5",튀김류,돼지고기,데미그라스소스
주반찬,R110_492350000-0001,실곤약잡채,200,87.18,1.617,6.1166,9.6528,2.9566,53.46,232.18,8.82,"'참기름': 3,'표고버섯': 10,'애호박': 10,'양파': 10,'마늘': 1,'당근': 10,'곤약국수': 50",볶음류,곤약국수|표고버섯|애호박|양파|당근,
주반찬,R108_388000000-0001,연어구이+브로콜리찜가니쉬,200,284.78,25.1846,19.296,3.291,0.316,300.55,223.94,1221.42,"'소금': 1,'연어류': 60,'후추': 0.5,'브로콜리': 20",구이류,연어|브로콜리,
주반찬,R308-395000000-0001,임연수구이,250,396,43.04,23.52,2.8,0,604,768,1256,"'소금': 1,'임연수어': 80,'혼합식물성유': 3",구이류,임연수어,
주식,R101_033140000-0001,돼지고기잡채밥,550,2456.96,60.6518,47.94735,430.26225,8.46395,624.5855,1125.5079,2274.5107,"'돼지고기': 20,'후추': 0.5,'간장': 5,'혼합식물성유': 5,'참기름': 2,'표고버섯': 3,'애호박': 10,'대파': 2,'양파': 10,'당근': 10,'당면': 10,'멥쌀밥': 210",밥류,돼지고기|당면,간장
주식,R103_157000000-0001,비빔국수+삶은계란+초고추장소스,500,2222.73,60.05725,35.0191,413.69285,48.53875,588.01,1483.52,6985.12,"'달걀': 35,'식용유': 4,'참기름': 1.3,'표고버섯': 20,'애호박': 20,'파': 10,'콩나물': 20,'마늘': 2,'설탕': 5,'소면': 90,'식초': 5,'고추장': 10",면류,달걀|소면,고추장|식초
주식,R101_017280000-0001,소고기숙주볶음밥,260,1079.1144,26.60476,26.07748,178.14602,0.4342,275.171,464.8579,1082.094,"'소고기': 20,'후추': 0.3,'간장': 5,'식용유': 5,'대파': 5,'숙주나물': 50,'멥쌀밥': 210",밥류,소고기|숙주나물,간장
주식,R104_199000000-0001,소고기야채죽+국간장소스,400,1001.98,28.164,33.5026,141.4656,11.01,358.82,700.46,1672.44,"'소고기': 20,'국간장': 5,'참기름': 0.5,'참기름': 3,'애호박': 10,'양파': 10,'양파': 10,'당근': 10,'초록 고추': 5,'빨간 고추': 5,'멥쌀': 40",밥류,소고기|애호박|양파|당근,
주식,R101_018000000-0001,소보로비빔밥+비빔밥고추장,300,1403.223,33.6615,24.25311,271.77096,24.6987,339.882,1937.3217,1166.88,"'달걀': 70,'식용유': 5,'참기름': 1.3,'표고버섯': 40,'고구마순': 40,'애호박': 40,'파': 3,'콩나물': 40,'양파': 30,'무': 40,'마늘': 2,'당근': 5,'멥쌀밥': 210,'토마토케첩': 3,'고추장': 14,'물엿': 2",밥류,달걀|표고버섯|고구마순|애호박|콩나물|무,고추장|물엿
주식,R101_028000000-0001,오므라이스+데미소스,400,1244.3,36.1396,28.8436,202.0168,18.2912,369.42,704.6,950.12,"'데미그라스소스': 20,'달걀': 70,'돼지고기': 20,'혼합식물성유': 5,'애호박': 10,'양파': 10,'당근': 10,'멥쌀밥': 140,'우스타소스': 2.5",밥류,달걀|돼지고기,데미그라스소스
주식,R101_007000000-0001,저염김밥,280,1111.46,19.57032,24.7926,197.24516,3.90544,222.1044,359.9876,1014.384,"'소금': 1,'달걀': 70,'식용유': 5,'참기름': 3,'김밥용김': 2,'우엉': 10,'오이': 10,'당근': 15,'멥쌀밥': 210",밥류,달걀|김|당근,
주식,R101_047350000-0001,콩나물밥+간장양념장,320,997.232,28.1024,23.50224,173.47744,6.5312,288.192,689.1136,1294.0672,"'진간장': 5,'식용유': 5,'참기름': 0.5,'표고버섯': 20,'콩나물': 70,'양파': 10,'당근': 5,'초록 고추': 5,'빨간고추': 5,'멥쌀': 60",밥류,콩나물|표고버섯,간장
