,식품명,재료,분량,
451,도라지합쌀튀김,찹쌀가루,10g,
452,도라지합쌀튀김,식용유,,
453,오이생채I,오이,50g,
454,오이생채I,마늘,1g,다진
455,오이생채I,식초,1.5g,
456,오이생채I,설탕,1.5g,
457,오이생채I,참기름,2g,
458,오므라이스+데미소스,애호박,10g,
459,오므라이스+데미소스,양파,,
459,오므라이스+데미소스,당근,10g,
460,오므라이스+데미소스,계란,1개,지단
461,오므라이스+데미소스,식용유,,
462,오므라이스+데미소스,돼지고기,20g,다진
463,오므라이스+데미소스,쌀밥,140g,
463,오므라이스+데미소스,데미그라스소스,2,
464,오므라이스+데미소스,우스터소스,2.5g,
465,오므라이스+데미소스,물,5g,
466,쇠고기무국,무,30g,
467,쇠고기무국,쇠고기,20g,국용
468,쇠고기무국,참기름,2g,
469,쇠고기무국,마늘,2g,다진
470,쇠고기무국,소금,,
471,쇠고기무국,후추,소량,
472,쇠고기무국,대파,3g,
473,연근조림,연근,30g,
474,연근조림,물엿,,
475,삼색피망튀김,청피망,15g,
476,삼색피망튀김,홍피망,15g,
477,삼색피망튀김,파프리카,15g,노랑
478,삼색피망튀김,밀가루,5g,
479,삼색피망튀김,계란,5,
479,삼색피망튀김,빵가루,,
480,삼색피망튀김,식용유,,
481,양파당근피클,양파,30g,
482,양파당근피클,당근,5,
482,양파당근피클,식초,,
483,양파당근피클,그린스위트,1.5g,
484,양파당근피클,피클링스파이스,소량,
485,황태채무국,황태,15g,
486,황태채무국,무,30g,
487,황태채무국,참기름,2g,
488,황태채무국,소금,,
489,황태채무국,실파,5g,
490,수제섭산적,양파,10g,
491,수제섭산적,당근,10g,
492,수제섭산적,대파,,
493,수제섭산적,돼지고기,30g,다진
494,수제섭산적,쇠고기,30g,다진
495,수제섭산적,빵가루,10g,
496,수제섭산적,후추,,
497,수제섭산적,참기름,소량,
498,수제섭산적,간장,5g,
499,수제섭산적,식용유,,
500,실곤약잡채,실곤약,50g,
501,실곤약잡채,당근,1,
502,실곤약잡채,양파,10g,
503,실곤약잡채,애호박,10g,
504,실곤약잡채,표고버섯,10g,
505,실곤약잡채,마늘,1g,다진
506,실곤약잡채,참기름,3g,
507,오징어두부무국,오징어,25g,
508,오징어두부무국,두부,4,
509,오징어두부무국,무,70g,
510,오징어두부무국,홍초,2g,
511,오징어두부무국,청초,2g,
512,오징어두부무국,마늘,1g,다진
513,오징어두부무국,소금,1g,
514,돼지고기숙주볶음,당근,10g,
515,돼지고기숙주볶음,양파,10g,
516,돼지고기숙주볶음,대파,5g,
517,돼지고기숙주볶음,식용유,,
518,돼지고기숙주볶음,돼지고기,60g,채
519,돼지고기숙주볶음,마늘,1g,다진
520,돼지고기숙주볶음,후추,소량,
521,돼지고기숙주볶음,숙주,50g,
522,돼지고기숙주볶음,간장,5g,
523,돼지고기숙주볶음,식용유,,
524,저염와사비무깍두기,무,40g,
525,저염와사비무깍두기,식초,4g,
526,저염와사비무깍두기,그린스위트,0.5g,
527,저염와사비무깍두기,소금,0.2g,
528,저염와사비무깍두기,와사비,0.5g,
529,닭다리삼계탕,닭고기,80g,다리
530,닭다리삼계탕,마늘,10g,통
531,닭다리삼계탕,수삼,8g,
532,닭다리삼계탕,대추,5g,
533,닭다리삼계탕,대파,5g,
534,닭다리삼계탕,소금,2g,
535,닭다리삼계탕,후추,소량,
536,부추사과생채,부추,50g,
537,부추사과생채,사과,10g,
538,부추사과생채,양파,10g,
539,부추사과생채,설탕,1.5g,
540,부추사과생채,식초,2g,
541,부추사과생채,참기름,,
542,우거지된장국,배추,70g,우거지
543,우거지된장국,마늘,1g,다진
544,우거지된장국,된장,10g,
545,우거지된장국,대파,5g,
546,삼치튀김+레몬슬라이스,삼치,80g,
547,삼치튀김+레몬슬라이스,소금,1g,
548,삼치튀김+레몬슬라이스,밀가루,소량,
549,삼치튀김+레몬슬라이스,식용유,,
550,삼치튀김+레몬슬라이스,레몬,10g,
551,새우애호박볶음,새우살,25g,
552,새우애호박볶음,식용유,,
553,새우애호박볶음,애호박,70g,
554,새우애호박볶음,마늘,1g,다진
555,새우애호박볶음,홍초,2g,
