식품명,식품대분류명,대표식품명,식품중분류명,영양성분함량기준량,에너지(kcal),단백질(g),지방(g),탄수화물(g),당류(g),인(mg),칼륨(mg),나트륨(mg),식품중량
볶음밥_소고기,밥류,볶음밥,소,100g,176,7.59,6.48,21.76,0.08,86,167,215,260g
볶음밥_참치,밥류,볶음밥,참치,100g,180,4.62,3.27,32.9,0.12,46,66,631,230g
볶음밥_채소,밥류,볶음밥,채소,100g,182,4.72,5.39,28.74,0.29,61,156,408,260g
볶음밥_표고버섯,밥류,볶음밥,버섯,100g,184,3.36,4.81,31.79,0,39,167,299,300g
비빔밥,밥류,비빔밥,쌀,100g,142,6.86,4.32,18.84,0.05,79,180,232,450g
비빔밥_돌솥,밥류,비빔밥,쌀,100g,147,5.39,2.95,24.68,1.24,72,114,337,380g
비빔밥_육회,밥류,비빔밥,육회,100g,147,6.39,3.36,22.92,4.45,95,178,446,300g
삼각김밥_참치마요네즈,밥류,삼각김밥,참치,100g,199,5.93,8.21,25.45,0,58,76,230,200g
수수밥,밥류,수수밥,쌀,100g,161,3.16,0.92,35.02,0.08,25,26,1,200g
알밥,밥류,알밥,알,100g,128,4.73,5.11,15.75,2.3,61,128,430,330g
영양돌솥밥,밥류,영양돌솥밥,쌀,100g,184,3.43,2.87,36.06,0.63,32,36,6,350g
오므라이스,밥류,오므라이스,달걀,100g,173,6.5,7.23,20.54,3.19,93,163,433,400g
자장밥,밥류,자장밥,자장,100g,122,4.27,4.72,15.57,0.03,49,137,236,470g
잡곡밥,밥류,잡곡밥,쌀,100g,146,5.3,0.87,29.33,0.32,111,157,3,200g
잡채밥,밥류,잡채밥,밀,100g,150,4.02,3.42,25.79,0.05,47,148,227,550g
주먹밥_소고기,밥류,주먹밥,소,100g,178,4.76,2.18,34.73,0.23,46,69,357,200g
짬뽕밥,밥류,짬뽕밥,쌀,100g,72,3.2,1.4,11.65,1.34,53,138,234,900g
차조밥,밥류,차조밥,쌀,100g,157,2.84,0.65,34.86,0.04,30,27,1,200g
찰밥,밥류,찰밥,쌀,100g,153,4.39,0.18,33.56,0.49,56,168,3,280g
초밥_모듬,밥류,초밥,쌀,100g,160,9.66,1.59,26.72,1.4,106,161,142,380g
초밥_유부초밥,밥류,초밥,유부,100g,194,5.78,5.77,29.82,1.99,67,57,386,200g
카레라이스,밥류,카레라이스,쌀,100g,108,3.11,1.4,20.74,0.16,35,91,210,480g
콩나물밥,밥류,콩나물밥,콩나물,100g,123,4.68,1.58,22.39,0.04,125,241,272,320g
콩밥_검정콩,밥류,콩밥,콩,100g,165,4.53,1.12,34.3,0,52,86,3,200g
하이라이스,밥류,하이라이스,쌀,100g,112,4.02,1.13,21.34,0,36,77,246,360g
현미밥,밥류,현미밥,쌀,100g,172,3.1,0.47,38.9,0,57,41,2,230g
회덮밥_모듬,밥류,회덮밥,해물,100g,145,9.1,4.15,17.76,3.07,108,217,155,410g
가래떡,빵 및 과자류,가래떡,쌀,100g,195,3.92,0.51,43.73,0,43,23,241,100g
경단_깨,빵 및 과자류,경단,깨,100g,240,6.28,6.72,38.58,0.61,104,75,203,100g
꿀떡,빵 및 과자류,꿀떡,쌀,100g,228,3.74,1.73,49.48,0.29,52,39,275,100g
모듬찰떡,빵 및 과자류,모듬찰떡,쌀,100g,218,6.78,2.44,42.27,2.98,91,191,188,100g
백설기,빵 및 과자류,백설기,쌀,100g,230,3.71,1.45,50.4,0.11,36,31,211,100g
송편_깨,빵 및 과자류,송편,깨,100g,219,4.65,3.23,42.83,1.98,65,50,260,100g
시루떡,빵 및 과자류,시루떡,쌀,100g,224,3.77,1.85,48.13,0.04,65,161,195,100g
약식,빵 및 과자류,약식,쌀,100g,220,4.21,2.45,45.24,13.24,43,85,221,100g
인절미,빵 및 과자류,인절미,쌀,100g,242,5.64,2.16,50.07,6.35,61,128,297,100g
절편_쑥,빵 및 과자류,절편,쑥,100g,192,7.72,2.42,34.87,0.25,34,39,192,100g
증편,빵 및 과자류,증편,쌀,100g,200,3.17,1.2,44.15,3.19,38,22,284,100g
찹쌀떡_팥,빵 및 과자류,찹쌀떡,팥,100g,295,5.06,2.53,62.93,25.95,34,34,140,100g
도넛_링도넛,빵 및 과자류,도넛,밀,100g,515,7.85,33.17,46.16,11.6,364,176,537,100g
도넛_찹쌀,빵 및 과자류,도넛,찹쌀,100g,288,6,4.64,55.56,11.04,97,49,312,70g
